Serving Size,nutritions
100 грама съдържат:,"['32', '3.04', '6.28', '0.31'] -> 4 елемента"
100 грама съдържат:,"['393', '4.76', '62.54', '13.77'] -> 4 елемента"
100 грама съдържат:,"['36', '2.55', '7.10', '0.50'] -> 4 елемента"
100 грама съдържат:,"['95', '16.70', '0', '2.60'] -> 4 елемента"
100 грама съдържат:,"['32', '1', '5', '1'] -> 4 елемента"
100 грама съдържат:,"['594', '17.30', '25.35', '51.45'] -> 4 елемента"
100 грама съдържат:,"['299', '22.17', '2.19', '22.35'] -> 4 елемента"
100 грама съдържат:,"['516', '5', '7', '52'] -> 4 елемента"
100 грама съдържат:,"['378', '20.47', '62.95', '6.04'] -> 4 елемента"
100 грама съдържат:,"['325', '18', '52', '5'] -> 4 елемента"
100 грама съдържат:,"['296', '16.90', '1.40', '24.70'] -> 4 елемента"
100 грама съдържат:,"['218', '3.40', '21', '12'] -> 4 елемента"
100 грама съдържат:,"['239', '7.18', '42.46', '1.61'] -> 4 елемента"
100 грама съдържат:,"['238', '7.17', '40.12', '1.36'] -> 4 елемента"
100 грама съдържат:,"['492', '7.30', '70.20', '20.20'] -> 4 елемента"
100 грама съдържат:,"['272', '3.50', '19.60', '20'] -> 4 елемента"
100 грама съдържат:,"['521', '13.80', '49.80', '29.60'] -> 4 елемента"
100 грама съдържат:,"['65', '3.20', '5', '3.60'] -> 4 елемента"
100 грама съдържат:,"['51', '0.11', '13.12', '0.06'] -> 4 елемента"
100 грама съдържат:,"['95', '16.70', '0', '2.60'] -> 4 елемента"
100 грама съдържат:,"['371', '5.30', '53.40', '15.10'] -> 4 елемента"
100 грама съдържат:,"['204', '3', '2.90', '20'] -> 4 елемента"
100 грама съдържат:,"['70', '0.58', '18.59', '0.19'] -> 4 елемента"
100 грама съдържат:,"['243', '22.86', '31.43', '2.86'] -> 4 елемента"
100 грама съдържат:,"['142', '3', '28', '2'] -> 4 елемента"
100 грама съдържат:,"['56', '1.56', '14.39', '0.22'] -> 4 елемента"
100 грама съдържат:,"['555', '7', '53', '35'] -> 4 елемента"
100 грама съдържат:,"['584', '6.30', '48.60', '40.50'] -> 4 елемента"
100 грама съдържат:,"['271', '15.60', '51', '0.50'] -> 4 елемента"
100 грама съдържат:,"['329', 'Няма', 'данни', '80', '1'] -> 5 елемента"
100 грама съдържат:,"['501', '6', '54', '29'] -> 4 елемента"
100 грама съдържат:,"['883', 'Няма', 'данни', 'Няма', 'данни', '98'] -> 6 елемента"
100 грама съдържат:,"['899', 'Няма', 'данни', 'Няма', 'данни', '99'] -> 6 елемента"
100 грама съдържат:,"['64', '3.30', '7.70', '2.20'] -> 4 елемента"
100 грама съдържат:,"['884', '0', '0', '100'] -> 4 елемента"
100 грама съдържат:,"['900', '0', '0', '99.80'] -> 4 елемента"
100 грама съдържат:,"['884', '0', '0', '100'] -> 4 елемента"
100 грама съдържат:,"['828', 'Няма', 'данни', 'Няма', 'данни', '92'] -> 6 елемента"
100 грама съдържат:,"['266', '0.40', '66.20', 'Няма', 'данни'] -> 5 елемента"
100 грама съдържат:,"['77', '15', '3', '0.50'] -> 4 елемента"
100 грама съдържат:,"['292', '0.70', '72.30', 'Няма', 'данни'] -> 5 елемента"
100 грама съдържат:,"['259', '0.50', '64.30', 'Няма', 'данни'] -> 5 елемента"
100 грама съдържат:,"['477', '7.50', '76.70', '12.70'] -> 4 елемента"
100 грама съдържат:,"['436', '6', '67', '16'] -> 4 елемента"
100 грама съдържат:,"['285', '0.40', '70.90', 'Няма', 'данни'] -> 5 елемента"
100 грама съдържат:,"['485', '6.20', '43.50', '31.80'] -> 4 елемента"
100 грама съдържат:,"['386', '27', '2', '30'] -> 4 елемента"
100 грама съдържат:,"['375', '22.40', '3.80', '30'] -> 4 елемента"
100 грама съдържат:,"['337', '8.30', '71.60', '1.20'] -> 4 елемента"
100 грама съдържат:,"['107', '0.56', '28.32', '0.34'] -> 4 елемента"
100 грама съдържат:,"['98', '0.50', '23.90', 'Няма', 'данни'] -> 5 елемента"
100 грама съдържат:,"['37', '0.10', '8.80', '0.10'] -> 4 елемента"
100 грама съдържат:,"['128', '21.75', '0', '3.85'] -> 4 елемента"
100 грама съдържат:,"['243', '10', '26', '11'] -> 4 елемента"
100 грама съдържат:,"['287', '0.60', '71.20', 'Няма', 'данни'] -> 5 елемента"
100 грама съдържат:,"['88', '11', '6.50', '2'] -> 4 елемента"
100 грама съдържат:,"['192', '27.66', '0', '8.23'] -> 4 елемента"
100 грама съдържат:,"['349', '11', '74', '1'] -> 4 елемента"
100 грама съдържат:,"['75', '0.74', '19.30', '0.10'] -> 4 елемента"
100 грама съдържат:,"['24', '2.40', '3.70', 'Няма', 'данни'] -> 5 елемента"
100 грама съдържат:,"['306', '0.40', '76', 'Няма', 'данни'] -> 5 елемента"
100 грама съдържат:,"['82', '0.50', '19.90', 'Няма', 'данни'] -> 5 елемента"
